FID,Latitude,Longitude
0,33.26952714,-7.58371305
1,33.25246699,-7.58201895
2,33.25692868,-7.56009218
3,33.22305406,-7.51266429
4,33.20945077,-7.48172168
5,33.20411124,-7.48225533
6,33.18159677,-7.46887044
7,33.15937370,-7.43987533
8,33.14147932,-7.40886758
9,33.12693026,-7.41699073
10,33.12044903,-7.42343926
11,33.11438177,-7.43015215
12,33.11067009,-7.43606085
13,33.10799222,-7.44006145
14,33.10759656,-7.44065390
15,33.10254040,-7.44725686
16,33.09954962,-7.45141096
17,33.09422362,-7.45764729
18,33.09041220,-7.46316031
19,33.08672421,-7.46989782
20,33.08483687,-7.47434152
21,33.08009338,-7.47940115
22,33.07585215,-7.48431952
23,33.07270900,-7.48793128
24,33.06679832,-7.49131308
25,33.06218155,-7.49230275
26,33.05897988,-7.49298783
27,33.05398422,-7.49416323
28,33.05004877,-7.49574805
29,33.04534821,-7.49986329
30,33.04198343,-7.50388248
31,33.03910040,-7.50883479
32,33.03765716,-7.51472832
33,33.03520165,-7.52160549
34,33.03304690,-7.52786277
35,33.03028225,-7.53218796
36,33.02448896,-7.53877622
37,33.01987208,-7.54363253
38,33.01554841,-7.54775154
39,33.01326100,-7.54975950
40,32.98675424,-7.56806838
41,32.98487118,-7.56982931
42,32.97373026,-7.58464733
43,32.96854320,-7.59152655
44,32.95556103,-7.60885551
45,32.95307866,-7.61215699
46,32.94098582,-7.63661829
47,32.89833166,-7.74790017
48,32.87847697,-7.79271923
49,32.87041020,-7.81360395
50,32.86694051,-7.82260224
51,32.86681617,-7.82300970
52,32.86032862,-7.84452459
53,32.85966048,-7.84471284
54,32.85817113,-7.84849795
55,32.85741759,-7.85237301
56,32.85645204,-7.85662918
57,32.85527093,-7.86006410
58,32.85411463,-7.86412137
59,32.85157219,-7.87274039
60,32.85071036,-7.87641979
61,32.85037073,-7.87754166
62,32.84841068,-7.88160754
63,32.84483922,-7.88944138
64,32.84133827,-7.89507749
65,32.84071034,-7.89727927
66,32.83975925,-7.89879821
67,32.83963088,-7.90103435
68,32.83909365,-7.90289747
69,32.83792052,-7.90962946
70,32.83782124,-7.92104920
71,32.83740959,-7.92543841
72,32.83655556,-7.92920139
73,32.83350308,-7.95265772
74,32.84054313,-7.97986447
75,32.84121027,-7.98244502
76,32.84239050,-7.99656313
77,32.84386505,-8.00416949
78,32.84811897,-8.01481122
79,32.84948110,-8.01788265
80,32.85262781,-8.02607016
81,32.85425468,-8.03040641
82,32.85768716,-8.03574172
83,32.85963061,-8.03845088
84,32.86375219,-8.04382135
85,32.86694692,-8.04705343
86,32.87248095,-8.05193228
